Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	7,5e-002	1,5e-002	0,	
2	7,3835e-002	1,0316e-002	0,	
3	7,0612e-002	6,723e-003	0,	
4	6,6079e-002	5,0584e-003	0,	
5	6,1291e-002	5,7134e-003	0,	
6	5,7361e-002	8,5466e-003	0,	
7	5,5223e-002	1,2901e-002	0,	
8	5,5384e-002	1,7745e-002	0,	
9	5,7797e-002	2,1937e-002	0,	
10	6,1886e-002	2,4503e-002	0,	
11	6,67e-002	2,4855e-002	0,	
12	7,1118e-002	2,291e-002	0,	
13	7,411e-002	1,9123e-002	0,	
14	2,5e-002	1,5e-002	0,	
15	2,3842e-002	1,033e-002	0,	
16	2,0598e-002	6,7136e-003	0,	
17	1,6015e-002	5,0516e-003	0,	
18	1,1192e-002	5,7533e-003	0,	
19	7,27e-003	8,656e-003	0,	
20	5,1981e-003	1,302e-002	0,	
21	5,4079e-003	1,7827e-002	0,	
22	7,8446e-003	2,1986e-002	0,	
23	1,1936e-002	2,4519e-002	0,	
24	1,6737e-002	2,4848e-002	0,	
25	2,1135e-002	2,2897e-002	0,	
26	2,4116e-002	1,9112e-002	0,	
27	7,5e-002	8,5e-002	0,	
28	7,3833e-002	8,0313e-002	0,	
29	7,0605e-002	7,6719e-002	0,	
30	6,607e-002	7,5057e-002	0,	
31	6,1284e-002	7,5716e-002	0,	
32	5,7366e-002	7,8541e-002	0,	
33	5,5228e-002	8,2878e-002	0,	
34	5,5376e-002	8,7715e-002	0,	
35	5,7778e-002	9,1917e-002	0,	
36	6,1869e-002	9,4497e-002	0,	
37	6,6688e-002	9,4856e-002	0,	
38	7,1112e-002	9,2915e-002	0,	
39	7,4109e-002	8,9126e-002	0,	
40	2,5e-002	8,5e-002	0,	
41	2,3842e-002	8,033e-002	0,	
42	2,0632e-002	7,6737e-002	0,	
43	1,6121e-002	7,5063e-002	0,	
44	1,135e-002	7,569e-002	0,	
45	7,4227e-003	7,8474e-002	0,	
46	5,2504e-003	8,2776e-002	0,	
47	5,3405e-003	8,7587e-002	0,	
48	7,6854e-003	9,1819e-002	0,	
49	1,1784e-002	9,4469e-002	0,	
50	1,664e-002	9,4865e-002	0,	
51	2,111e-002	9,2916e-002	0,	
52	2,4116e-002	8,911e-002	0,	
53	0,	0,1	0,	
54	0,14	0,1	0,	
55	5,0305e-003	0,1	0,	
56	1,0028e-002	0,1	0,	
57	1,5026e-002	0,1	0,	
58	2,0024e-002	0,1	0,	
59	2,5021e-002	0,1	0,	
60	3,0019e-002	0,1	0,	
61	3,5016e-002	0,1	0,	
62	4,0014e-002	0,1	0,	
63	4,5012e-002	0,1	0,	
64	5,0009e-002	0,1	0,	
65	5,5007e-002	0,1	0,	
66	6,0005e-002	0,1	0,	
67	6,5002e-002	0,1	0,	
68	7,e-002	0,1	0,	
69	7,4997e-002	0,1	0,	
70	7,9995e-002	0,1	0,	
71	8,4993e-002	0,1	0,	
72	8,999e-002	0,1	0,	
73	9,4988e-002	0,1	0,	
74	9,9986e-002	0,1	0,	
75	0,10498	0,1	0,	
76	0,10998	0,1	0,	
